customer_id,region,acct_length,internation_plan,voicemail_plan,daytime_call_mins,evening_call_mins,nighttime_call_mins,customer_service_calls,churn,age
111,East South Central,98.0,no,no,161.0,190.9,227.7,4.0,0,55
112,South Atlantic,125.0,no,no,126.7,206.0,247.8,1.0,0,55
113,Mountain,63.0,no,no,58.9,169.6,211.4,1.0,0,37
114,New England,36.0,yes,yes,196.8,254.9,138.3,0.0,1,59
115,Middle Atlantic,64.0,no,no,162.6,152.3,57.5,1.0,0,31
116,Mountain,74.0,no,no,282.5,219.9,170.0,1.0,1,56
117,West North Central,112.0,no,yes,113.7,157.5,177.6,2.0,0,42
118,Mountain,97.0,no,no,239.8,214.8,143.3,2.0,0,41
119,West North Central,46.0,no,no,210.2,227.3,200.1,1.0,0,48
120,West South Central,41.0,no,yes,213.8,141.8,142.2,0.0,0,47
121,South Atlantic,121.0,no,no,190.7,183.5,220.8,3.0,0,47
122,East South Central,193.0,no,no,170.9,132.3,112.9,1.0,0,47
123,Mountain,130.0,no,no,154.2,110.2,227.4,2.0,0,53
124,Mountain,85.0,no,no,201.4,229.4,252.5,1.0,0,41
125,East South Central,162.0,no,no,70.7,157.5,154.8,4.0,1,64
126,East South Central,61.0,no,yes,187.5,146.6,225.7,4.0,1,53
127,West South Central,92.0,no,no,91.7,193.7,175.0,2.0,0,46
128,West North Central,131.0,no,yes,214.2,161.7,264.7,3.0,0,76
129,West North Central,90.0,no,no,145.5,217.7,146.9,3.0,0,37
130,Pacific,75.0,no,no,166.3,158.2,256.7,1.0,0,48
131,Middle Atlantic,78.0,no,no,231.0,230.4,261.4,1.0,0,48
132,West South Central,82.0,no,no,200.3,201.2,206.1,4.0,0,47
133,West South Central,163.0,no,no,197.0,202.6,206.4,1.0,0,61
134,East South Central,91.0,yes,no,129.9,173.3,247.2,3.0,0,45
135,Middle Atlantic,75.0,no,yes,175.8,217.5,237.5,5.0,0,45
136,South Atlantic,91.0,no,no,203.1,210.1,195.6,3.0,0,49
137,Pacific,127.0,no,yes,183.2,126.8,263.3,1.0,0,67
138,Mountain,113.0,no,yes,205.0,152.0,158.6,2.0,0,42
139,South Atlantic,110.0,no,no,148.5,276.4,193.6,1.0,0,62
140,South Atlantic,120.0,no,yes,200.3,220.4,253.8,0.0,0,58
141,East North Central,157.0,no,yes,192.6,195.5,109.7,3.0,0,52
142,New England,103.0,no,no,246.5,195.5,200.5,1.0,0,54
143,New England,117.0,yes,no,167.1,177.5,249.4,2.0,1,67
144,East North Central,140.0,no,no,231.9,160.1,110.4,3.0,0,46
145,Pacific,127.0,no,no,146.7,203.5,203.4,1.0,0,37
146,Mountain,83.0,yes,no,271.5,216.3,121.1,1.0,0,47
147,West South Central,121.0,no,no,181.5,218.4,161.6,1.0,0,46
148,New England,145.0,no,yes,257.7,162.1,286.9,2.0,0,62
149,West North Central,113.0,no,no,193.8,221.4,172.3,1.0,0,42
150,West North Central,117.0,no,no,102.8,206.7,299.0,1.0,0,48
151,East North Central,65.0,no,no,187.9,157.6,227.3,1.0,0,42
152,New England,56.0,no,no,226.0,248.5,140.5,1.0,0,45
153,West South Central,96.0,no,no,260.4,146.0,269.5,5.0,0,36
154,West South Central,151.0,no,no,178.7,292.1,265.9,0.0,0,35
155,East North Central,83.0,no,no,337.4,227.4,153.9,0.0,1,62
156,South Atlantic,139.0,no,yes,157.6,247.0,259.2,0.0,0,45
157,West North Central,6.0,no,no,183.6,256.7,178.6,1.0,0,59
158,South Atlantic,115.0,no,yes,142.1,183.4,164.8,1.0,0,52
159,South Atlantic,87.0,no,no,136.3,172.2,137.5,0.0,0,69
160,South Atlantic,141.0,no,no,217.1,241.5,253.5,0.0,0,51
161,West North Central,141.0,no,yes,187.5,241.4,229.5,3.0,0,50
162,East North Central,62.0,no,no,98.9,135.4,236.6,1.0,0,38
163,West South Central,179.0,no,no,219.2,149.4,244.7,0.0,0,54
164,West North Central,94.0,no,no,252.6,169.0,170.9,2.0,0,56
165,West North Central,62.0,no,no,147.1,190.4,195.2,0.0,0,51
166,East North Central,127.0,no,no,202.1,229.4,195.2,2.0,0,52
167,West South Central,116.0,no,no,173.5,194.1,208.0,3.0,0,50
168,West North Central,70.0,no,no,232.1,292.3,201.2,3.0,0,39
169,South Atlantic,94.0,yes,yes,197.1,214.5,282.2,4.0,0,48
170,Pacific,126.0,no,no,58.2,138.7,136.8,5.0,1,50
171,Middle Atlantic,67.0,no,yes,115.6,237.7,169.9,2.0,0,44
172,New England,19.0,no,no,186.1,254.3,214.0,2.0,0,58
173,South Atlantic,170.0,yes,no,259.9,245.0,134.4,3.0,0,53
174,Mountain,73.0,no,no,214.3,268.5,241.2,1.0,0,51
175,Middle Atlantic,106.0,no,no,158.7,64.3,198.5,1.0,0,53
176,Mountain,93.0,no,no,271.6,229.4,77.3,2.0,0,39
177,Mountain,164.0,no,no,160.6,163.2,187.1,1.0,0,53
178,Pacific,51.0,no,no,232.4,187.4,231.2,1.0,0,61
179,Mountain,107.0,no,no,133.8,180.5,112.2,0.0,0,43
180,West South Central,130.0,no,no,176.9,90.7,238.0,1.0,0,43
181,East South Central,80.0,no,no,209.9,195.1,208.2,2.0,0,46
182,Mountain,94.0,no,no,137.5,203.2,150.0,0.0,0,56
183,West South Central,118.0,no,yes,289.5,166.6,119.1,1.0,0,52
184,South Atlantic,117.0,no,yes,198.1,177.0,180.5,1.0,0,59
185,East South Central,78.0,no,no,149.7,182.2,261.5,0.0,0,28
186,West South Central,208.0,no,no,326.5,176.3,181.7,2.0,1,61
187,New England,131.0,yes,yes,292.9,199.7,255.3,4.0,1,56
188,South Atlantic,63.0,no,no,83.0,177.0,245.7,0.0,0,42
189,West North Central,53.0,no,yes,145.7,220.5,249.9,3.0,0,41
190,South Atlantic,62.0,no,no,182.3,328.2,245.0,2.0,0,45
191,South Atlantic,97.0,no,no,218.0,184.0,240.5,3.0,0,37
192,East North Central,105.0,no,no,140.6,178.6,217.0,2.0,0,49
193,Pacific,157.0,no,no,152.7,257.5,198.1,1.0,0,62
194,West North Central,66.0,no,yes,106.7,209.8,190.4,1.0,0,62
195,East North Central,122.0,no,no,243.8,83.9,179.8,2.0,0,49
196,Pacific,38.0,no,no,194.4,186.7,223.3,3.0,0,58
197,South Atlantic,106.0,no,no,213.9,151.9,260.1,3.0,0,35
198,New England,99.0,no,no,217.2,246.7,226.1,3.0,0,49
199,West South Central,99.0,no,no,241.1,155.6,188.2,1.0,0,40
200,Mountain,144.0,yes,no,203.5,247.6,194.3,0.0,0,67
201,Middle Atlantic,82.0,no,yes,155.2,244.5,122.4,1.0,0,44
202,Mountain,86.0,no,yes,167.6,113.0,246.9,1.0,0,42
203,South Atlantic,70.0,yes,no,226.7,228.1,73.2,2.0,1,61
204,West South Central,93.0,no,no,179.3,178.6,225.2,3.0,0,43
205,South Atlantic,93.0,no,no,151.4,186.4,172.5,0.0,0,28
206,South Atlantic,120.0,no,no,180.0,224.2,265.4,3.0,0,38
207,South Atlantic,136.0,no,no,250.2,267.1,151.0,1.0,1,44
208,East South Central,106.0,no,no,223.0,110.1,188.7,0.0,0,49
209,Pacific,81.0,no,no,183.6,152.6,212.2,3.0,0,37
210,East South Central,127.0,no,yes,166.0,174.5,244.9,1.0,0,54
211,East South Central,65.0,no,no,136.1,272.9,220.2,1.0,0,36
212,New England,35.0,no,no,149.3,242.2,174.3,2.0,0,33
213,West South Central,88.0,no,no,65.4,168.2,236.0,2.0,0,56
214,East North Central,65.0,no,no,213.4,234.5,250.1,1.0,0,40
215,West North Central,123.0,no,no,206.9,244.7,221.5,3.0,0,65
216,West North Central,126.0,no,yes,186.2,189.6,76.5,2.0,0,56
217,South Atlantic,104.0,no,yes,280.2,220.5,136.9,4.0,0,47
218,East South Central,45.0,no,yes,196.6,313.2,163.3,0.0,0,64
219,South Atlantic,93.0,yes,no,312.0,129.4,217.6,0.0,1,59
220,East North Central,63.0,yes,yes,199.0,291.3,197.6,1.0,0,55
221,West South Central,100.0,no,no,203.1,217.0,180.9,3.0,0,57
222,Mountain,53.0,no,no,168.8,220.3,154.3,0.0,0,47
223,Mountain,92.0,yes,no,173.1,240.3,233.2,1.0,0,42
224,West North Central,139.0,no,no,134.4,211.3,193.6,5.0,1,55
225,West North Central,110.0,no,yes,202.6,118.8,234.9,2.0,0,68
226,East North Central,110.0,no,no,74.5,200.8,192.2,3.0,0,50
227,Mountain,215.0,no,no,83.6,120.9,226.6,0.0,0,52
228,East South Central,73.0,no,no,192.2,168.6,139.8,1.0,0,30
229,Middle Atlantic,138.0,no,no,220.2,88.3,195.3,0.0,0,41
230,Mountain,137.0,yes,no,135.1,134.1,223.1,2.0,1,64
231,East North Central,36.0,no,no,253.4,182.4,275.8,1.0,0,48
232,South Atlantic,85.0,no,no,225.0,176.9,194.3,3.0,0,42
233,South Atlantic,108.0,no,no,198.5,267.8,354.9,0.0,1,68
234,South Atlantic,22.0,no,no,110.3,166.5,202.3,0.0,0,55
235,New England,107.0,no,yes,60.0,102.2,261.8,0.0,0,41
236,East North Central,51.0,no,no,214.8,149.7,283.4,0.0,0,53
237,Mountain,94.0,no,no,181.8,202.4,245.9,4.0,0,50
238,Mountain,119.0,no,yes,154.0,278.0,228.4,2.0,0,52
239,Pacific,33.0,no,yes,157.4,117.9,279.2,4.0,1,59
240,Middle Atlantic,106.0,no,no,207.9,172.0,191.8,4.0,0,67
241,East South Central,82.0,no,no,207.0,232.9,172.4,3.0,0,56
242,East North Central,86.0,no,yes,119.0,230.0,236.9,0.0,0,42
243,West South Central,97.0,yes,no,143.7,273.0,178.3,0.0,0,63
244,South Atlantic,106.0,no,yes,165.9,216.5,173.1,4.0,0,35
245,South Atlantic,108.0,no,no,138.6,172.3,231.6,1.0,0,48
246,West South Central,114.0,no,no,84.7,249.9,193.4,1.0,0,71
247,West North Central,92.0,yes,no,62.6,180.6,221.7,1.0,1,51
248,Mountain,59.0,no,no,155.2,235.3,169.4,1.0,0,68
249,West North Central,24.0,no,yes,164.9,209.3,231.2,1.0,0,47
250,East North Central,151.0,no,no,134.5,143.1,223.9,1.0,0,55
251,Mountain,117.0,no,no,143.3,211.3,185.2,1.0,0,53
252,South Atlantic,78.0,no,no,168.3,221.2,241.0,1.0,0,48
253,South Atlantic,155.0,no,no,262.4,194.6,146.5,2.0,0,43
254,South Atlantic,114.0,no,yes,206.2,260.0,291.6,1.0,0,51
255,New England,114.0,no,yes,225.8,193.0,232.4,4.0,0,58
256,New England,119.0,no,no,138.3,170.5,263.9,3.0,0,57
257,West North Central,64.0,no,yes,94.4,136.2,147.4,0.0,0,53
258,New England,118.0,yes,no,160.0,175.4,184.8,2.0,0,52
259,Middle Atlantic,101.0,no,no,206.6,224.9,249.9,0.0,0,55
260,West South Central,117.0,no,no,134.7,180.0,200.9,1.0,0,45
261,East South Central,49.0,no,yes,214.4,235.2,206.2,3.0,0,52
262,Mountain,139.0,no,no,192.8,234.4,203.2,3.0,0,37
263,Middle Atlantic,92.0,no,yes,151.1,194.8,239.2,1.0,0,64
264,Pacific,83.0,no,no,221.4,231.8,122.5,3.0,0,47
265,Pacific,148.0,yes,no,218.9,208.0,203.3,0.0,0,44
266,West North Central,144.0,no,yes,189.8,123.4,214.2,2.0,1,54
267,East South Central,131.0,no,yes,192.7,225.9,254.2,2.0,0,39
268,New England,146.0,yes,no,204.4,219.1,222.7,3.0,0,53
269,Mountain,143.0,no,no,172.3,174.0,188.2,2.0,0,57
270,West North Central,81.0,no,no,198.4,210.9,193.3,2.0,0,45
271,Pacific,48.0,no,yes,211.7,159.9,144.1,1.0,0,46
272,East North Central,86.0,no,yes,221.6,288.4,240.3,1.0,0,53
273,South Atlantic,71.0,no,no,197.9,181.5,281.4,3.0,0,50
274,West North Central,145.0,no,yes,147.5,175.7,252.1,2.0,0,47
275,East North Central,137.0,no,no,206.4,128.0,194.5,2.0,0,54
276,West North Central,137.0,no,no,205.9,209.3,289.9,2.0,0,44
277,East South Central,167.0,no,no,207.6,132.4,255.2,0.0,0,50
278,West South Central,89.0,no,no,303.9,260.9,312.1,1.0,1,57
279,New England,199.0,no,yes,230.6,219.4,299.3,0.0,0,40
280,West North Central,132.0,no,no,99.5,129.1,125.1,0.0,0,57
281,East North Central,94.0,no,no,177.1,194.0,146.7,1.0,0,61
282,New England,96.0,no,yes,172.7,120.1,216.1,5.0,1,44
283,East North Central,96.0,no,yes,172.7,133.4,259.5,1.0,0,39
284,East North Central,166.0,no,no,204.2,179.9,216.8,1.0,0,63
285,South Atlantic,74.0,no,no,85.7,247.7,142.4,2.0,0,54
286,West South Central,36.0,no,no,157.6,184.3,240.4,0.0,0,55
287,New England,113.0,no,no,215.5,218.7,207.1,4.0,0,38
288,West North Central,94.0,no,no,181.5,199.9,287.7,1.0,0,56
289,South Atlantic,67.0,no,no,171.7,110.4,195.4,2.0,0,41
290,South Atlantic,127.0,no,no,266.6,264.8,207.2,1.0,1,54
291,New England,121.0,no,no,170.4,350.5,297.0,0.0,1,55
292,West North Central,158.0,no,no,158.0,292.5,241.1,1.0,0,60
293,Mountain,136.0,no,no,92.0,253.6,214.1,1.0,0,44
294,West North Central,196.0,no,no,234.0,249.5,173.1,2.0,0,38
295,New England,113.0,no,no,272.1,268.5,213.8,1.0,1,49
296,East North Central,122.0,no,no,296.4,214.8,133.9,4.0,1,55
297,New England,112.0,no,no,194.4,190.3,183.4,0.0,0,32
298,West North Central,209.0,no,no,227.2,258.4,183.5,3.0,0,48
299,West North Central,62.0,no,no,248.7,220.0,265.7,1.0,1,59
300,West South Central,110.0,no,yes,236.3,195.9,183.5,1.0,0,50
301,South Atlantic,16.0,no,no,205.6,169.5,220.1,0.0,0,29
302,New England,73.0,no,no,94.1,280.3,205.0,0.0,0,50
303,Mountain,128.0,no,no,125.2,205.4,254.4,0.0,0,42
304,New England,39.0,no,no,60.4,306.2,123.9,1.0,0,45
305,South Atlantic,103.0,no,yes,121.0,270.4,160.5,2.0,0,56
306,New England,119.0,no,yes,117.8,256.8,147.6,3.0,0,59
307,Mountain,173.0,no,yes,232.4,211.9,273.0,3.0,0,56
308,West North Central,128.0,yes,yes,223.5,188.8,154.9,2.0,1,40
309,New England,86.0,no,no,176.3,259.2,287.4,0.0,0,46
310,Mountain,114.0,no,yes,125.2,177.8,232.4,1.0,0,58
311,South Atlantic,104.0,no,no,138.7,256.9,234.9,0.0,0,49
312,Pacific,148.0,no,no,86.3,246.6,251.6,1.0,0,37
313,South Atlantic,129.0,no,no,207.0,154.9,245.1,3.0,0,52
314,New England,100.0,no,yes,58.8,219.5,152.3,0.0,0,40
315,East South Central,121.0,no,yes,68.7,209.2,197.4,1.0,0,56
316,South Atlantic,143.0,no,yes,239.2,235.5,156.3,1.0,0,44
317,West North Central,76.0,no,no,198.3,217.1,188.4,0.0,0,50
318,Mountain,158.0,no,no,205.2,240.6,79.7,0.0,0,36
319,South Atlantic,116.0,no,no,192.1,312.9,130.2,3.0,0,53
320,Mountain,54.0,no,no,272.6,248.7,197.4,1.0,1,56
321,East South Central,86.0,no,no,128.3,197.1,138.4,7.0,1,58
322,South Atlantic,108.0,no,no,169.6,264.1,206.3,0.0,0,52
323,Mountain,66.0,no,no,201.3,152.8,233.2,1.0,0,47
324,East South Central,151.0,no,yes,214.7,138.5,169.1,1.0,0,45
325,South Atlantic,99.0,no,no,169.2,271.5,170.2,0.0,0,65
326,Pacific,55.0,no,no,194.1,176.6,302.8,2.0,0,53
327,Pacific,77.0,no,no,233.8,266.5,212.7,2.0,0,46
328,Pacific,78.0,no,no,225.1,199.2,175.5,0.0,0,52
329,South Atlantic,89.0,no,no,213.0,176.6,262.6,1.0,1,53
330,West North Central,101.0,no,no,183.9,255.9,275.0,1.0,0,41
331,East North Central,44.0,no,yes,221.8,161.7,227.7,0.0,0,65
332,East North Central,98.0,no,yes,64.6,176.1,244.8,2.0,0,36
333,South Atlantic,64.0,no,yes,154.6,83.4,165.9,1.0,0,43
334,South Atlantic,141.0,no,no,260.2,179.2,135.0,3.0,0,48
335,East North Central,81.0,no,yes,161.6,123.0,261.3,1.0,0,66
336,New England,162.0,no,no,220.6,155.2,186.7,1.0,0,43
337,Mountain,83.0,no,yes,155.9,162.3,127.6,3.0,0,47
338,South Atlantic,100.0,no,no,107.0,105.7,243.1,4.0,1,42
339,Pacific,59.0,no,no,182.5,204.7,229.9,4.0,0,19
340,West South Central,179.0,yes,yes,220.1,234.3,237.3,4.0,0,37
341,West South Central,79.0,no,no,152.2,177.2,96.4,1.0,0,48
342,Pacific,117.0,no,no,181.5,205.1,204.0,2.0,0,57
343,East South Central,64.0,yes,no,236.2,218.6,194.1,2.0,1,47
344,New England,31.0,no,no,166.1,79.3,213.7,1.0,0,57
345,Pacific,124.0,yes,no,244.6,188.8,206.0,1.0,0,60
346,Mountain,122.0,no,yes,134.2,227.3,122.4,2.0,0,70
347,West North Central,37.0,yes,yes,149.7,211.1,114.3,1.0,0,35
348,South Atlantic,90.0,no,yes,150.1,264.7,178.4,1.0,0,53
349,Mountain,159.0,yes,no,257.1,312.2,183.0,1.0,1,51
350,South Atlantic,148.0,no,no,124.4,179.7,253.0,0.0,0,54
351,East North Central,39.0,no,yes,141.7,232.3,222.1,1.0,0,41
352,East South Central,77.0,no,no,230.0,103.2,309.6,2.0,0,49
353,West South Central,194.0,no,no,162.3,213.7,192.1,0.0,0,36
354,Mountain,154.0,no,no,350.8,216.5,253.9,1.0,1,52
355,South Atlantic,112.0,no,no,193.3,264.1,128.6,4.0,0,47
356,South Atlantic,45.0,no,no,78.2,253.4,255.0,1.0,0,44
357,West North Central,132.0,no,no,83.4,232.2,146.7,1.0,0,46
358,New England,128.0,no,no,195.6,267.8,164.9,0.0,0,73
359,South Atlantic,135.0,no,no,201.8,225.0,204.4,1.0,0,70
360,Mountain,56.0,no,no,197.0,222.8,225.3,2.0,0,68
361,Pacific,151.0,yes,no,218.0,114.4,269.2,0.0,1,57
362,Middle Atlantic,32.0,no,no,164.8,229.9,167.3,2.0,0,32
363,Mountain,90.0,no,no,179.2,210.7,276.9,2.0,0,50
364,West North Central,87.0,no,yes,214.0,180.0,134.5,0.0,0,39
365,South Atlantic,138.0,no,no,170.5,118.2,187.9,2.0,0,51
366,West North Central,79.0,no,no,205.7,214.5,226.1,1.0,0,43
367,West North Central,95.0,yes,no,165.5,286.2,198.9,1.0,1,54
368,West North Central,127.0,no,no,221.0,160.7,233.1,2.0,0,49
369,West North Central,137.0,no,no,242.1,191.0,218.6,3.0,0,47
370,West South Central,97.0,no,no,151.6,155.4,240.0,1.0,0,36
371,Pacific,149.0,yes,no,176.2,145.0,249.5,0.0,0,63
372,East North Central,117.0,yes,yes,196.0,322.7,225.6,1.0,0,42
373,East North Central,84.0,no,no,159.5,247.1,187.9,2.0,0,53
374,West North Central,137.0,no,no,230.2,220.4,204.7,4.0,0,55
375,New England,99.0,no,no,146.7,274.0,321.3,3.0,0,40
376,New England,54.0,no,no,210.5,204.5,127.8,1.0,0,39
377,East North Central,85.0,no,no,102.0,270.2,148.2,1.0,0,43
378,East South Central,150.0,no,no,126.0,238.5,285.1,3.0,0,55
379,South Atlantic,43.0,no,no,168.4,243.8,214.7,1.0,0,51
380,New England,35.0,no,no,105.6,258.2,213.1,0.0,0,51
381,South Atlantic,98.0,no,no,206.5,176.2,232.8,5.0,0,53
382,Middle Atlantic,112.0,no,no,217.1,205.2,185.7,2.0,0,36
383,East North Central,16.0,no,no,229.6,205.7,166.2,0.0,1,53
384,East South Central,98.0,no,yes,278.3,93.4,107.6,0.0,0,70
385,West South Central,84.0,no,no,138.6,199.0,204.1,0.0,0,48
386,Pacific,94.0,no,no,234.4,279.3,234.2,1.0,1,45
387,East North Central,84.0,no,no,181.5,130.7,186.5,1.0,0,64
